"filename", "language", "JSON with Comments", "CSS", "Less", "TypeScript React", "TypeScript", "JavaScript", "Log", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 47
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\env.js", "JavaScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 35, 11, 105
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\getHttpsConfig.js", "JavaScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 9, 67
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\jest\babelTransform.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\jest\cssTransform.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 3, 15
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\jest\fileTransform.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 6, 41
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\modules.js", "JavaScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 30, 25, 135
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\paths.js", "JavaScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 10, 13, 78
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, 556, 0, 0, 0, 0, 0, 183, 24, 763
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\webpackDevServer.config.js", "JavaScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 58, 7, 128
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\config\webpack\persistentCache\createEnvironmentHash.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 1, 153
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\scripts\build.js", "JavaScript", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 21, 23, 218
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\scripts\start.js", "JavaScript", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 17, 16, 155
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\scripts\test.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 7, 10, 53
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\chatPage.module.css", "CSS", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 263
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\chatPage.module.less", "Less", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 28, 58, 348
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\chatPage.tsx", "TypeScript React", 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 11, 33, 319
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\declarations.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\index.module.css", "CSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\index.module.less", "Less", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\index.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\loginPage.module.css", "CSS", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\loginPage.module.less", "Less", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\loginPage.tsx", "TypeScript React", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 10, 122
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\registrationPage.module.css", "CSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\registrationPage.module.less", "Less", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 111
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\src\registrationPage.tsx", "TypeScript React", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 21, 259
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"e:\polyu\Internet Protocols and Infrastructures\project\realproject\client\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 8732, 0, 0, 0, 0, 0, 1291, 10023
"Total", "-", 28, 432, 436, 644, 1, 1268, 8732, 26, 177, 20, 2, 444, 1637, 13847